date,site,temp,latitude,longitude,tidal
4/16/2008,1,12.5525,41.186433,-73.342933,N
4/17/2008,1,12.23625,41.186433,-73.342933,N
4/18/2008,1,13.59083333,41.186433,-73.342933,N
4/19/2008,1,15.12791667,41.186433,-73.342933,N
4/20/2008,1,14.99583333,41.186433,-73.342933,N
4/21/2008,1,14.78708333,41.186433,-73.342933,N
4/22/2008,1,15.36583333,41.186433,-73.342933,N
4/23/2008,1,16.25,41.186433,-73.342933,N
4/24/2008,1,17.38125,41.186433,-73.342933,N
4/25/2008,1,16.825,41.186433,-73.342933,N
4/26/2008,1,16.39625,41.186433,-73.342933,N
4/27/2008,1,15.02666667,41.186433,-73.342933,N
4/28/2008,1,13.35166667,41.186433,-73.342933,N
4/29/2008,1,12.54458333,41.186433,-73.342933,N
4/30/2008,1,11.63833333,41.186433,-73.342933,N
5/1/2008,1,11.87583333,41.186433,-73.342933,N
5/2/2008,1,12.23041667,41.186433,-73.342933,N
5/3/2008,1,11.72875,41.186433,-73.342933,N
5/4/2008,1,12.32333333,41.186433,-73.342933,N
5/5/2008,1,13.86208333,41.186433,-73.342933,N
5/6/2008,1,14.95958333,41.186433,-73.342933,N
5/7/2008,1,15.89583333,41.186433,-73.342933,N
5/8/2008,1,16.41083333,41.186433,-73.342933,N
5/9/2008,1,15.17291667,41.186433,-73.342933,N
5/10/2008,1,13.24958333,41.186433,-73.342933,N
5/11/2008,1,13.62541667,41.186433,-73.342933,N
5/12/2008,1,12.61333333,41.186433,-73.342933,N
5/13/2008,1,12.3875,41.186433,-73.342933,N
5/14/2008,1,13.56625,41.186433,-73.342933,N
5/15/2008,1,14.78166667,41.186433,-73.342933,N
5/16/2008,1,14.62916667,41.186433,-73.342933,N
5/17/2008,1,NA,41.186433,-73.342933,N
5/18/2008,1,NA,41.186433,-73.342933,N
5/19/2008,1,NA,41.186433,-73.342933,N
5/20/2008,1,NA,41.186433,-73.342933,N
5/21/2008,1,NA,41.186433,-73.342933,N
5/22/2008,1,12.60666667,41.186433,-73.342933,N
5/23/2008,1,13.09791667,41.186433,-73.342933,N
